Unique ID,Agency,Chapter or Office Name,Office Type,Office Type 2,LongName,Website,Phone Number Advertise Google,Hours of Operation,Main Contact,Contact Email,CSC/CM First Name,CSC/CM Last Name,AMS First Name,AMS Last Name,IT Contact,IT Email,IT Phone,PO Box,Address,City,State,ZIP,Latitude,Longitude,Elevation,Plus Code,Google Maps,GPS Source,Phone 1,Phone 2,NN Branch,Division,Driving Directions,Office Number/Location,Building Name/None,Chapter LGA,In-House IT,3rd Party IT,Emergency Response Team,Survey Conducted by,Survey Date,Title,Email,Surveyor Phone,Acknowledged by,Contact Title,Section2,Internet Provider,Internet Speed Contract (down),Internet Speed Contract (up),Internet Speed Contract (original), Internet MRC* , Cost /mb contract , Cost/mb tested ,Survey/Comments,Media,My IP Address,Internet Speed Test Trial 1 (down),Internet Speed Test Trial 1 (up),Tested To,Internet Speed Test Trial 2 (down),Internet Speed Test Trial 2 (up),Tested to2,Internet Speed Test Trial 3 (down),Internet Speed Test Trial 3 (up),Average Trial DL,Average Trial UL,Tested to3,Trace route to navajo-nsn.gov,Trace route to www.google.com,Trace route to www.nnoc.org,Phone Provider,Phone Lines Qty, Phone MRC* , Average MRC per line , Survey/ Comments ,Phone Media,VoIP,# of Trunks,VoIP MRC*,VoIP Media,Two Way Radio,Model,Purpose,Fiber Optic,Comments  Fiber Optics,Cellular Service Available,Operators,Emergency Call,Media Emergency ,Who is receiving the call?,Comments Network Services,Section3,Existing Network Cabling,Number of Network Drops,Comments Net Cabling,Routers,Routers Qty,Comments Routers,Switches,Switches Qty,Comments Switches,Firewall,Firewall Qty,Comments Firewall,Wi-Fi APs,AP Qty,Public Wi-Fi,Computers,Computers Qty,Public Access Wi-Fi,Comments Computers,Printers,Qty,Public Access Computers,Comments PC printers,Faxes,Fax Lines Qty,Servers,ServerQty,Purpose/ Comments Server,UPS,UPS Qty,Purpose/ Comments UPS,Others,Others Qty,Purpose/ Comments Others,Email Provider,Email Comments,Web Browsing Provider,Web Comments,Cloud Storage,Cloud Comments,Data Base Provider,DB Comments,Service Desk Provider,Telecom and IT Comments,Section 4 - Site Plan,IT Room layout,Fiber Demark,Telecommunications/radio/cellular towers within sight of your building,Does DCD/NNAA have address point for this building?,CAD Drawing or Sketch available and provided to the surveyor,Section 5 Picture Key,Building Front Pic,Building Side Pic,Building Entrance Pic,IT Room Pic,Reception Area/Desk Pic,Telco Services Demarcation Pic,Telco Services Entry Port Pic,Fiber Optic Entry Pic,"Wireless Antennas (Microwave, Cellular, Satellite)  Pic",Router/Telecom Rack Pic,Printers Pic,Wi-Fi Access Points Pic,List of additional (Others),Short Video Clip of the Facilities,Section 6 - Entities,Navajo Head start,Office of Dine Youth,Regional Business Development Office,Navajo Department of Workforce Development,Navajo Department of Veterans Affairs,Office of Labor Relations,Navajo Office of Vital Records,Department of Child Support Enforcement,Community Health Representative/Outreach Program (CHR),Department of Behavioral Health (DBH),Food Distribution Program,Navajo Area Agency on Aging (NAAA),New Dawn Program,Office of Environmental Health & Code Enforcement,Special Diabetes Project,Child Care Development Fund (CCDF),Department of Self Reliance,Department of Family Services,Facilities Maintenance Department,Fleet Management Department,Abandoned Mine Lands Reclamation (AML),Agriculture Department,Land Department,I H S,Senior Citizens Center,Convenience Store ,Commercial Outlets,Multi-purpose Complex,Feed/Tack Store,Solid Waste Transfer Station,Museum,Community Cemetery,Clinic,NTUA Wireless Store/Office,NTUA Regional Office,Cellular One Store,Other Telecommunication Store,Libraries,Churches,School,List of additional (Others) Entities,Fish & Wildlife,Water Resources,Election Administration,Judicial District Courts,Police Districts,Office of Navajo Scholarship & Financial Assistance,Administrative Service Center,Emergency Medical Services,Day Care Centers,DCD/ASC Office,Navajo Department of Transportation,Navajo Water & Sanitation,Navajo Water Development,Criminal Investigations Office,Capital Projects Management Office,Housing Improvement Program,Parks & Recreation,List of additional (Others) 2,Lat,Long
65,Eastern,Huerfano,Chapter House,Chapter House,Huerfano_Chapter House,huerfano.navajochapters.org,(505) 960-1400,,Larry Bonney/ chapter coordinator,huerfaNo@navajochapters.org,Larry J.,"Bonney, CSC",Eleanor,"Castiano, AMS",N/A,N/A,,PO Box 968,536 Co Rd 7150,Bloomfield,NM,87413,36 28 33 N,107 59 57 W,6304.1,858JF2G2+88,"https://www.google.com/maps/place/Huerfano+Chapter+House/@36.4759041,-108.0013189,17z/data=!3m1!4b1!4m5!3m4!1s0x873c82f87fcadce9:0xca401c4271632e53!8m2!3d36.4758998!4d-107.9991302?hl=en",CT Survey,(505) 960-1400,,Executive,Community Development,building #563 country road,N/A,N/A,No,no,Yes,no,Primeaux Youvella,29/01/2018,Network Specialist,pyouvella@navajo-nsn.gov,928-871-6931,Irene L. Harvey,Chapter Vice President,,Sacred Wind,10,3,5.49/0.86,, $-   ,  ,,Copper,199.115.134.161,5.49,0.86,,,,,,,,,,,,,Sacred Wind,,,  ,,Copper,N/A,,,,No,,,no,None fiber line/ Satellite internet connection,Yes,"Verizon. T-Mobile, NTUAW, CellularOne",no,,911 connect to San Juan county Police Department. San Juan transfer to Crownpoint PD,Satellite Photo #10,,Yes,5,,Yes,1,DSL/ Idirect 3125 3000 series Satellite Router,Yes,1,Allied Telesis 16port 100/10 Switch CentreCOM FS716XJ,no,,,Yes,1,Yes,Yes,4,Yes,free access to community,Yes,4,no,,Yes,1,No,,,no,,,None,,,navajochapters.org,,internet explorer,,N/A,,N/A,,staples,staples and best buy are the 3rd party IT. Chapter purchase supplies and gets technical support from 3rd party.,,Yes,no,,,,,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,Satellite internet provider photo 11,N,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Navajo Nation office youth development,,,,,,,,,,,,,,,,,,,36.475903,-107.999132
66,Eastern,Iyanbito,Chapter House,Chapter House,Iyanbito_Chapter House,,,,Jacynth nachin,,(Vacant),,Kari-April,"Gibson, AMS",,,,PO Box 498,"211A Iyanbito Rd, Iyanbito, NM",Fort Wingate,NM,87316,35 31 27.06 N,108 28 24.73 W,6983.3,857HGGFG+MH,"https://www.google.com/maps/place/35°31'00.3%22N+108°28'59.9%22W/@35.5155955,-108.4882127,15.15z/data=!4m5!3m4!1s0x0:0x0!8m2!3d35.51674!4d-108.483313?hl=en",AMC Survey,(505) 905-5650,,Executive,Community Development,,,,No,no,Yes,Yes,Theran tall salt Sammie Legh,15/02/2018,,,,,,,Sacred Wind,,,,,  , $-   ,,Copper,199.115.134.192,5.78,0.95,,,,,,,5.78,0.95,,,,,Sacred Wind,2,, $-   ,,Copper,,,,,No,,,No,,Yes,"Verizon, AT&T, CellularOne",no,,,$274 telephone/fax/internet,,Yes,,,Yes,,,Yes,,,no,,,Yes,1,,Yes,5,1 laptop ,,Yes,,no,,Yes,1,No,,,no,,,no,,,navajochapters.org,,,,,,,,,,,,,,,,,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,"EVACUATION PLAN, BUILDING NUMBER",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.51674,-108.483313
67,Eastern,Lake Valley,Chapter House,Chapter House,Lake Valley Chapter_Chapter House,lakevalley.navajochapters.org,(505) 786-2190,8AM–5PM,"Barbara O'keefe, CSC",baokeefe@navajochapters.org,Barbara,"O'Keefe, CSC",Nancy,"Brown, AMS",,,,PO Box 190,"Indian Rte 7750, Lake Valley",Crownpoint,NM,87313,36 2 50.4 N,108 8 46.8 W,5990.2,858H2VW3+WF,"https://www.google.com/maps/place/Lake+Valley+Chapter+House/@36.0473789,-108.1484891,17z/data=!3m1!4b1!4m5!3m4!1s0x8724a42f04fbf7cb:0xc36441215756ccc6!8m2!3d36.0473746!4d-108.1463004?hl=en",CT Survey,(505) 786-2190,(505) 786-2191,Executive,Community Development,,,,No,No,No,,Tyler Capitan,07/12/2017,information System Technician,tcapitan@navajo-nsn.gov,928-871-6001,Nancy Brown,AMS,,Frontier,,,,,  , $-   ,,Copper,74.43.71.174,1.01,0.47,,0.88,0.2,,0.65,0.22,0.85,0.3,,3,18,16,Frontier,,,  ,,,,,,,,,,,,no,no,,,,Demark latitude: N 36.02.50.2 longitude: W 108.08.470,,Yes,1,a phone line drop to DSL,no,,,no,,Wi-Fi is their main connectivity,no,,,Yes,,no,Yes,2,no,,Yes,1,no,,Yes,1,No,,,Yes,1,in the CSC office but have no access to it.,,,,navajochapters.org,employees have personal email.,,,,,,,frontier/ DCD tech support ,"internet is off and on frequently, if end user gets  online then the other user gets kicked off",,,,,,,,Y,Y,Y,N,N,N,N,N,N,N,N,N,,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.047398,-108.14614
68,Eastern,Littlewater,Chapter House,Chapter House,Littlewater_Chapter House,littlewater.navajochapters.org,(505) 786-2120,8AM–5PM,Genevieve Castillo,littlewater@navajochapters.org,Genevieve,"Castillo, CM",Annjanette,"Bebo, AA",,,,PO Box 1898,"Littlewater Rd, Littlewater, NM",Crownpoint,NM,87313,35 39 12.65 N,108 01 43.08 W,6793.6,857HMX3C+CG,"https://www.google.com/maps/place/35°39'12.6%22N+108°01'43.1%22W/@35.6516923,-108.0320004,16z/data=!4m5!3m4!1s0x0:0x0!8m2!3d35.653486!4d-108.028645?hl=en",AMC Survey,(505) 786-2120,,Executive,Community Development,,,,Yes,No,Yes,,Tyler Capitan,08/12/2017,information System Technician,tcapitan@navajo-nsn.gov,928-871-6001,Denise Castillo,Office Assistant,,Frontier,5,1,DSL,$180.00 ,$36.00 ,$739.73 ,w/ phone AMC phone survey,,74.46.222.27,0.14,1.4,,0.29,1.61,,0.3,0.9,0.24,1.3,,4,18,14,Frontier,,$180.00 ,  , w/internet AMC phone survey ,,,,,,No,,,,,Yes,AT&T,no,,,,,Yes,1,For uplink from phone line,no,,,no,,,no,,,Yes,1,no,Yes,3,no,,Yes,2,,,Yes,1,No,,,Yes,1,APC unit,,,,navajochapters.org,,,,,,,,,,,,,,,,,Y,Y,Y,N,N,N,N,N,N,N,N,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.653489,-108.028646
69,Eastern,Manuelito,Chapter House,Chapter House,Manuelito_Chapter House,manuelito.navajochapters.org,(505) 905-3073,8AM–5PM,"Paulene McCabe, CSC",manuelito@navajochapters.org,Paulene,"McCabe, CSC",Angeline,"McCray, AMS",Michael hostini,,505-905-6000,HCR 57-Box 9069,"26 Hunters Point Rd, Mentmore, NM 87319",Gallup,NM,87301,35 26 38.23 N,108 58 24.52 W,6287.4,857HC2VG+HJ,"https://www.google.com/maps/place/Manuelito+Chapter+House/@35.4439611,-108.9760508,17z/data=!3m1!4b1!4m5!3m4!1s0x872522962f47dad5:0xefabf1aaa6a61102!8m2!3d35.4439567!4d-108.9738621?hl=en",CT Survey,(505) 905-3073,,Executive,Community Development,,,,No,no,Yes,No,Theran tall salt Sammie Legh,15/02/2018,,,,Lauren Sanchez,Office Assistant,,Sacred Wind,,,,,  , $-   ,DK,Satellite,199.115.134.192,7.63,1,,,,,,,7.63,1,,,,,Sacred Wind,4,, $-   ,,Copper,,,,,No,,,No,,Yes,"Verizon, AT&T, T-Mobile, CellularOne, straight talk",no,,,,,No,,wireless connection,Yes,,,Yes,,,no,,,No,,no,Yes,6,no,,Yes,6,no,,Yes,1,No,,,no,,,no,,,"navajochapters.org, yahoo, Gmail",,google,,DCD,,,,scared Wings,,,,,,,,,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,escape plan,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.443958,-108.973861
70,Eastern,Mariano Lake,Chapter House,Chapter House,Mariano Lake_Chapter House,marianolake.navajochapters.org,(505) 786-2182,8AM–5PM,Landra K. James,marianolake@navajochapters.org,Leandra K.,"James, CSC",Myrna M.,"Williams, AMS",,,,PO Box 164,237A Mariano Lake Loop Road,Smith Lake,NM,87365,35 34 38.7 N,108 19 28.2 W,7211,857HHMGG+X5,"https://www.google.com/maps/place/Mariano+Lake+Chapter+House/@35.5774215,-108.3266263,17z/data=!3m1!4b1!4m5!3m4!1s0x8724bc2cf8257b49:0x9cf3b1d8cf4c6762!8m2!3d35.5774172!4d-108.3244376?hl=en",CT Survey,(505) 786-2182,(505) 786-2180,Executive,Community Development,,,,No,No,Yes,,Tyler Capitan,08/12/2017,information System Technician,tcapitan@navajo-nsn.gov,928-871-6001,Raquel A. Warner,AMS,,Frontier,10,3,DSL(2),, $-   , $-   ,,Copper,104.240.49.9,6.81,1.02,,5.15,0.41,,3.37,0.38,5.11,0.6,,4,17,14,Frontier,1,, $-   ,,,,,,,Yes,Antenna From Sacred Winds,,,,Yes,"AT&T, Spotty areas",,,,,,Yes,,2 drop from phone line for the uplink; No CAT 6 Cables,no,2,DSL Modems (one for chapter and another for a dept),no,,,no,,,Yes,2,no,Yes,3,no,,Yes,4, no,,Yes,1,No,,,no,,,,,,navajochapter.org,,,,,,,,frontier for tech support,they are satellite dishes they don't use it anymore,,,,no,,,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.57742,-108.324437
71,Eastern,Nageezi,Chapter House,Chapter House,Nageezi_Chapter House,nageezi.navajochapters.org,(505) 960-7200,,Danny Simpson/ Chapter coordinator,Nagezzi@navajochapters.org,Danny,"Simpson, CSC",Chiffon M.,"Harrison, AMS",N/A,,,PO Box 100,1153 US-550,Nageezi,NM,87037,36 15 46 N,107 44 32 W,6947.8,858J7775+44,"https://www.google.com/maps/place/Nageezi+Chapter/@36.2611595,-107.7443432,17z/data=!3m1!4b1!4m5!3m4!1s0x873cbe686f1971bf:0x905e90836892bf69!8m2!3d36.2611552!4d-107.7421545?hl=en",CT Survey,(505) 960-7200,,Executive,Community Development,"11553 US 550 Nageezi, NM,  87037",N/A,N/A,No,no,Yes,no,Primeaux Youvella,29/01/2018,Network Specialist,pyouvella@navajo-nsn.gov,928-871-6931,Danny Simpson,Chapter Coordinator,,Sacred Wind,5,1,5.56/0.9,$70.00 ,$14.00 ,  ,AMC phone survey,Copper,199.155.134.160,5.56,0.9,,,,,,,,,,,,,Sacred Wind,,$50.00 ,  , AMC phone survey ,Copper,N/A,,,,No,,,no,,Yes,"Verizon, T-Mobile, NTUAW, CellularOne",no,,,Sacred winds DSL. All computers and printer on WIFI,,No,,,Yes,1,DSL,No,,,no,,,Yes,1,Yes,Yes,5,Yes,free access to community,Yes,5,no,,Yes,1,No,,,no,,,None,,,navajochapter.org,,internet explorer,,N/A,,N/A,,Staples and Best Buy,,,no,no,,,,,Y,N,Y,N,N,N,N,N,N,Y,N,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.261157,-107.742155
72,Eastern,Nahodishgish,Chapter House,Chapter House,Nahodishgish_Chapter House,navajochapters.org,(505) 786-2028,8AM–5PM,Clarita Etcitty,nahodishgish@navajochapters.org,(Vacant),,Melantha,"Morgan, AMS",,,,PO Box 369,"Dalton Pass Rd, Nahodishgish",Crownpoint,NM,87313,35 43 37.8 N,108 16 58.1 W,6732.6,857HPPG8+VV,"https://www.google.com/maps/place/Nahodishgish+Chapter+House/@35.7262727,-108.2853925,17z/data=!4m5!3m4!1s0x8724b06050f62007:0x487ff51a3ed7b9ce!8m2!3d35.7270757!4d-108.2828854?hl=en",CT Survey,(505) 786-2028,,Executive,Community Development,,,,No,no,Yes,no,Tyler Capitan,22/02/2018,Communications Service Coordinator,,,Clarita Etcity,,,Frontier,,,,,  , $-   ,,Copper,74.42.35.30,0.58,0,,0.49,0,,0.47,0,0.51,0,,4,17,4,Frontier,3,$150.00 ,$50.00 , AMC phone survey ,Copper,N/A,,,,No,N/A,N/A,no,N/A,Yes,CellularOne,no,wireline,,,,Yes,4,run from workstation to DSL modem,Yes,1,DSL modem,No,,,no,,,Yes,,no,Yes,4,no,staff only,Yes,3,no,staff only,Yes,1,No,,,Yes,3,tripplite,,,,navajochapters.org,,"Firefox, IE, chrome",,N/A,,N/A,,N/A,,,no,no,,,,,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.727078,-108.282885
74,Eastern,Ojo Encino,Chapter House,Chapter House,Ojo Encino_Chapter House,ojoencino.navajochapters.org,(505) 731-2263,8AM–5PM,Gloria Chiquito,ojoenciNo@navajochapters.org,Gloria,"Chiquito, CM",Dawn,"Tso, AA",,,731-1516,HCR 79 Box 1500,Star Lake Rd,Ojo Encino,NM,87013,35 57 14.23 N,107 20 53.97 W,6766.4,857JXM32+HM,"https://www.google.com/maps/place/Ojo+Encino+Chapter+House/@35.9539573,-107.3505124,17z/data=!3m1!4b1!4m5!3m4!1s0x87232bc863e75f77:0x13ef930d7fbd1302!8m2!3d35.953953!4d-107.3483237?hl=en",CT Survey,(505) 731-2263,(505) 731-2262,Executive,Community Development,7JXM32+HM,,,Yes,no,no,,Teresa Hopkins,26/01/2018,,mthopkins@navajo-nsn.gov,,N  Chiquito,,,Frontier,,,,,  ,  ,,,,,,,,,,,,,,,,,,Frontier,3,, $-   ,,,N/A,,,,,,,,,Yes,Various,,,,,,Yes,6,,no,,,Yes,1,,no,,,,,no,Yes,3,,,Yes,2,,,Yes,1,,,,Yes,,,None,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,"main room, working spaces",N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.953953,-107.348342
75,Eastern,Pinedale,Chapter House,Chapter House,Pinedale_Chapter House,pinedalegov.org,505) 786-2208,8AM–5PM,Titus Nez,pinedale@navajochapters.org,Titus J.,"Nez, CSC",Laverna,"Holtsoi, AMS",Titus Nez,tnez@navajochapters.org,,PO Box 3,523 Navajo Service Rte 11,Church Rock,NM,87311,35 36 37.99 N,108 26 57.58 W,6982.6,857HJH62+67,"https://www.google.com/maps/place/Pinedale+Chapter+House/@35.6105578,-108.4515178,17z/data=!3m1!4b1!4m5!3m4!1s0x8724c747a6fdfad9:0x42affb3da9d7e3fd!8m2!3d35.6105535!4d-108.4493291?hl=en",CT Survey,(505) 786-2208,,Executive,Community Development,,,,No,Yes,Yes,,Chris Yazzie,13/12/2017,WTN-IT,cyazzie@navajotechdn,505-726-3818,Titus Nez,Community Service Coordinator,,Hughes Net,,,,$111.13 ,  ,  ,$120 AMC phone survey,Other,174.33.159.118,,,,,,,,,,,,16,14,15,Frontier,3,$220.00 ,$73.33 , AMC phone survey ,Copper,,,,,No,,,,,no,,Yes,wireline,Gallup metro,,,Yes,6,,Yes,2,,no,,,Yes,,,Yes,1,Yes,Yes,4,no,,Yes,1,,,Yes,1,No,,,no,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,Y,N,Y,,N,,Yes,,,,,,,,Y,,,,,,,,,,,,,,,,Yes,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.610555,-108.449329
76,Eastern,Pueblo Pintado,Chapter House,Chapter House,Pueblo Pintado_Chapter House,navajochapters.org,(505) 655-3221,,Lolitz Yazzie,pueblopintado@navajochapters.org,Rosie,"Otero, CSC",Alberta,"Ballard, AMS",,,,HCR 79 Box 3026,"Indian Rte 9 Pueble, Pintado, NM",Cuba,NM,87013,35 57 50.85 N,107 38 50.35 W,6523.6,857JX973+J3,"https://www.google.com/maps/place/Pueblo+Pintado+Chapter+House/@35.9641007,-107.6494816,17z/data=!3m1!4b1!4m5!3m4!1s0x872335b644dce6c5:0x6799a402dc0bbd4!8m2!3d35.9640964!4d-107.6472929?hl=en",CT Survey,(505) 655-3221,,Executive,Community Development,X973+J3,,,No,no,No,Yes,Teresa Hopkins,22/05/2018,Executive Director,,,lolitz yazzie,,,Frontier,,,,$94.01 ,  ,$131.48 ,$437 w/phone. No breakdown was given,,104.240.55.105,0.73,0.14,,,,Error,0.7,0.12,0.72,0.13,,9,25,25,Frontier,3,$186.51 ,$62.17 ,,Copper,,,,,No,,,No,,Yes,"Verizon, AT&T, T-Mobile, CellularOne",no,,,,,No,,,Yes,1,,no,,,no,,,Yes,,Yes,Yes,2,,,Yes,3,Yes,,Yes,1,,,,Yes,1,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Meeting hall,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,Yes,Y,,,,,,,,,,,,,,,,,,,Yes,,,,Y,,,,,,,,,,,35.964097,-107.647292
78,Eastern,Ramah,Chapter House,Chapter House,Ramah_Chapter House,ramahnavajo.org,(505) 775-7140,,Brenda Yazzie,ramah@navajochapters.org,Brenda L.,"Yazzie, CSC",Vivinaita V.,"Coho, AMS",DCD IT,info@nndcd.org ,,HC 61-Box 13,Indian Rte 125,Ramah,NM,87321,34 59 49.00 N,108 24 44.00 W,7119.8,856HXHWQ+Q4,"https://www.google.com/maps/place/Ramah+Navajo+Chapter/@34.9969065,-108.4143921,17z/data=!3m1!4b1!4m5!3m4!1s0x87244270244ccbbb:0xa1bb652d87f3659b!8m2!3d34.9969021!4d-108.4122034?hl=en",CT Survey,(505) 775-7140,(505) 775-7142,Executive,Community Development,856HXHWQ+Q4,,,No,Yes,no,no,Norbert Nez,25/01/2018,IT manager,nnez@ndcd.org,928-871-7181,,Community Service Coordinator,,Oso Vista Internet,10,3,N/A,$36.00 ,$3.60 ,$14.32 ,$3700 Dedicated bandwidth AMC phone survey,Copper,,2.44,2.5,,2.48,2.49,,2.62,2.51,2.51,2.5,,N/A,N/A,N/A,CenturyLink,2,, $-   ,,36,N/A,,,,No,,,no,,Yes,"Verizon, AT&T, NTUAW, CellularOne, naked mobile, Walmart",Yes,wireline,McKinley County: call P.D,The Chapter Administration trailer across the street from the Chapter House holds offices for the Chapter Officials but is No occupied everyday. Was No able to get into the administration building but was able to take pictures outside. The chapter apparently has some computers for the chapter officials. The computers are reportedly fairly old and in need of replacement. there are also 4 phone lines in the trailer,,No,,,no,,,Yes,1,,no,,,Yes,1,no,Yes,5,y,3 active; 2 public access computers do No work. 1 active at tribal administration trailer,Yes,3,Yes,1 is an Xerox machine,Yes,2,No,,,Yes,5,,n,,,google with domain navajochapters.org,,ISP,,DCD WIND system,,DCD WIND system,,DCD IT services,,,,,,,,,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,"RECEPTION AREA COMPUTER, public access computer, middle office computer",N,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Y,Y,,,Y,,,Yes,Yes,Yes,Yes,Y,,,,Y,,,Y,,,,,Y,Y,Yes,,,Yes,,Yes,Y,Y,Y,,Y,,Y,,,Y,,,,,34.996904,-108.412204
80,Eastern,Red Rock,Chapter House,Chapter House,Red Rock_Chapter House,tselichii.navajochapters.org,(505) 905-8071,,Anderson Lee,andersonleeredlek@gmail.com,Anderson H.,"Lee, CSC",Raylynn,"Haskie-Perry, AMS",DOT,,,PO Box 2548,79 Refuge Rock Rd # A,Gallup,NM,87305,35 27 20.15 N,108 45 29.48 W,6647.3,857HF64R+6P,"https://www.google.com/maps/place/Red+Rock+Chapter/@35.4555941,-108.760338,17z/data=!3m1!4b1!4m5!3m4!1s0x8724dfe656863753:0xacbf52fda74c59ac!8m2!3d35.4555898!4d-108.7581493?hl=en",AMC Survey,(505) 905-8071,(505) 905-8135,Executive,Community Development,,,,No,No,Yes,Yes,Therum Dusalt,13/02/2018,,,,Adnan John,,,Sacred Wind,,,,,  , $-   ,,Copper,199.115.134.192,12.98,1.87,,,,,,,12.98,1.87,,,,,Sacred Wind,2,, $-   ,,Copper,,,,,No,,,No,,Yes,"Verizon, AT&T, CellularOne, Straight talk",no,,,,,Yes,5,,Yes,1,,Yes,1,,no,1,,No,,,Yes,5,no,,Yes,4,Yes,xerox,Yes,1,No,,,no,,,no,,,navajochapter.org,,"yahoo, google-scared wind",,,,,,scared wind,,,,,,,,,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,"Building number, evacuation plan",N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.455591,-108.75815
81,Eastern,Rock Springs,Chapter House,Chapter House,Rock Springs_Chapter House,,,,Brenda Jesus,rocksprings@navajochapters.org,Brenda,"Jesus, CSC",Shirlene,"Jones, AMS",DCD IT,,,PO Box 4608,"Indian Rte 7011 & Rock Springs Rd, Rock Springs, NM",Yahtahey,NM,87375,35 36 28.23 N,108 49 45.39 W,6567.9,857HJ55C+47,"https://www.google.com/maps/place/35°36'29.1%22N+108°49'43.4%22W/@35.6076933,-108.8295547,17.77z/data=!4m5!3m4!1s0x0:0x0!8m2!3d35.608072!4d-108.828708?hl=en",AMC Survey,(505) 371-5100,,Executive,Community Development,,,,No,Yes,Yes,No,Themu Tallsalt,15/02/2018,,,,Brenda Jesus,Chapter Coordinator,,Frontier,,,,,  , $-   ,,,74.46.222.18,0.56,0.28,,,,,,,0.56,0.28,,,,,Frontier,4,, $-   ,,Copper,,,,,No,,,No,,Yes,"Verizon, AT&T, TUAW, CellularOne",no,,,Need access point in meeting area,,Yes,5,,Yes,1,,Yes,1,,no,,,No,,no,Yes,5,Yes,,Yes,3,Yes,color printing at a cost,Yes,1,No,,,no,,,no,,,navajochapter.org,,"frontier, chrome, Firefox",,,,,,,,,,,,,,,Y,Y,N,N,N,N,N,N,N,Y,N,N,network patch panel,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.608072,-108.828708
82,Eastern,Smith Lake,Chapter House,Chapter House,Smith Lake_Chapter House,,,,Sharon McCarthy,smithlake@navajochapters.org,Leatricia Kay,"Bennett, CSC",Sharon,"McCarthy, AMS",,,,PO Box 60,Smith Lake Chapter Rd,Smith Lake,NM,87365,35 32 11.6 N,108 8 9.8 W,7253.6,857HGVP7+JH,"https://www.google.com/maps/place/Smith+Lake+Chapter/@35.5355217,-108.137746,17z/data=!4m5!3m4!1s0x87249f36beb399cf:0xe3f26acd4133adf2!8m2!3d35.5365039!4d-108.1357612?hl=en",CT Survey,(505) 786-2141,,Executive,Community Development,,,,No,No,Yes,,Tyler Capitan,08/12/2017,Information System Technician,tcapitan@navajo-nsn.gov,928-871-6001,Sharon McCarthy,AMS,,Frontier,10,3,DSL,, $-   , $-   ,200/w phone . No breakdown was given,Copper,74.42.235.160,5.74,1.06,,5.65,1.07,,5.78,1.07,5.72,1.07,,4,17,15,Frontier,1,$200.00 ,$200.00 , w/internet AMC phone survey ,,,,,,No,,,,,Yes,"Verizon, AT&T",,,,,,Yes,1,from phone line uplink,no,,,no,,,no,,,Yes,,no,Yes,4,no,1 PC,Yes,5,no,,Yes,1,No,,,no,,Tripplite,,,,navajochapter.org,,,,,,,,frontier for tech support,,,no,,no,,,,Y,Y,N,N,N,N,N,N,N,N,N,N,chapter area,N,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.536507,-108.135762
